"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","C34","기관지 및 폐의 악성 신생물","55"
"가정의학과","2","C22","간 및 간내 담관의 악성 신생물","42"
"가정의학과","3","C18","결장의 악성 신생물","22"
"가정의학과","3","C25","췌장의 악성 신생물","22"
"가정의학과","5","C16","위의 악성 신생물","21"
"가정의학과","6","R53","병감 및 피로","9"
"가정의학과","7","C56","난소의 악성 신생물","8"
"가정의학과","7","C50","유방의 악성 신생물","8"
"가정의학과","9","E11","2형 당뇨병","7"
"가정의학과","9","M48","기타 척추병증","7"
"가정의학과","9","C20","직장의 악성 신생물","7"
"가정의학과","12","C61","전립선의 악성 신생물","5"
"가정의학과","12","C71","뇌의 악성 신생물","5"
"가정의학과","14","C23","담낭의 악성 신생물","4"
"가정의학과","15","C19","직장구불결장접합부의 악성 신생물","3"
"가정의학과","15","I69","뇌혈관질환의 후유증","3"
"가정의학과","15","I10","본태성(원발성) 고혈압","3"
"가정의학과","15","C85","기타 및 상세불명 유형의 비호지킨림프종","3"
"가정의학과","19","B02","대상포진","2"
"가정의학과","19","C24","담도의 기타 및 상세불명 부분의 악성 신생물","2"
"가정의학과","19","C73","갑상선의 악성 신생물","2"
"가정의학과","19","C64","신우를 제외한 신장의 악성 신생물","2"
"가정의학과","19","C54","자궁체부의 악성 신생물","2"
"가정의학과","19","M51","기타 추간판장애","2"
"가정의학과","19","J11","바이러스가 확인되지 않은 인플루엔자","2"
"가정의학과","19","G58","기타 단일신경병증","2"
"가정의학과","19","C15","식도의 악성 신생물","2"
"가정의학과","19","G81","편마비","2"
"가정의학과","19","C65","신우의 악성 신생물","2"
"가정의학과","19","M54","등통증","2"
"가정의학과","19","C53","자궁경부의 악성 신생물","2"
"가정의학과","19","C43","피부의 악성 흑색종","2"
"감염내과","1","A41","기타 패혈증","8"
"감염내과","2","L03","연조직염","6"
"감염내과","2","J18","상세불명 병원체의 폐렴","6"
"감염내과","4","N10","급성 세뇨관-간질신장염","5"
"감염내과","5","M46","기타 염증성 척추병증","3"
