"부서명","순위","질병코드","상병명","실인원"
"가정의학과","1","C34","기관지 및 폐의 악성 신생물","39"
"가정의학과","2","C22","간 및 간내 담관의 악성 신생물","34"
"가정의학과","3","C16","위의 악성 신생물","26"
"가정의학과","4","C25","췌장의 악성 신생물","23"
"가정의학과","5","C18","결장의 악성 신생물","17"
"가정의학과","6","C15","식도의 악성 신생물","10"
"가정의학과","7","C24","담도의 기타 및 상세불명 부분의 악성 신생물","8"
"가정의학과","8","C64","신우를 제외한 신장의 악성 신생물","6"
"가정의학과","9","C26","기타 및 부위불명 소화기관의 악성 신생물","5"
"가정의학과","9","C61","전립선의 악성 신생물","5"
"가정의학과","9","C50","유방의 악성 신생물","5"
"가정의학과","9","C23","담낭의 악성 신생물","5"
"가정의학과","9","C66","요관의 악성 신생물","5"
"가정의학과","14","C71","뇌의 악성 신생물","4"
"가정의학과","14","C20","직장의 악성 신생물","4"
"가정의학과","16","C06","입의 기타 및 상세불명 부분의 악성 신생물","2"
"가정의학과","16","C45","중피종","2"
"가정의학과","16","C17","소장의 악성 신생물","2"
"가정의학과","16","C10","입인두의 악성 신생물","2"
"가정의학과","16","C67","방광의 악성 신생물","2"
"가정의학과","16","C65","신우의 악성 신생물","2"
"내분비내과","1","E11","2형 당뇨병","79"
"내분비내과","2","D35","기타 및 상세불명의 내분비선의 양성 신생물","11"
"내분비내과","3","E14","상세불명의 당뇨병","5"
"내분비내과","4","E13","기타 명시된 당뇨병","2"
"내분비내과","4","E26","고알도스테론증","2"
"내분비내과","4","E10","1형 당뇨병","2"
"내분비내과","7","I63","뇌경색증","1"
"내분비내과","7","N17","급성 신부전","1"
"내분비내과","7","I20","협심증","1"
"비뇨의학과","1","N40","전립선증식증","189"
"비뇨의학과","2","C61","전립선의 악성 신생물","56"
"비뇨의학과","3","C67","방광의 악성 신생물","16"
"비뇨의학과","4","N39","비뇨계통의 기타 장애","14"
"비뇨의학과","5","N31","달리 분류되지 않은 방광의 신경근육기능장애","11"
"비뇨의학과","6","N48","음경의 기타 장애","8"
"비뇨의학과","7","N41","전립선의 염증성 질환","7"
"비뇨의학과","8","N10","급성 세뇨관-간질신장염","6"
"비뇨의학과","8","R31","상세불명의 혈뇨","6"
"비뇨의학과","10","N43","음낭수종 및 정액류","5"
"비뇨의학과","11","N35","요도협착","4"
