"병상구분","구분","특실병상","특실병실","1인실병상","1인실병실","2인실병상","2인실병실","3인실병상","3인실병실","4인실병상","4인실병실","5인실병상","5인실병실","6인실병상","6인실병실","기타병상","기타병실"
"운영병상","일반병실","1","1","5","5","44","22","15","5","4","1","355","71","0","0","0","0"
"운영병상","간호간병","1","1","0","0","18","9","0","0","0","0","160","32","0","0","2","2"
"운영병상","완화의료","0","0","1","1","0","0","3","1","24","6","0","0","0","0","0","0"
"운영병상","정신과폐쇄","0","0","0","0","0","0","12","4","0","0","0","0","48","8","0","0"
"운영병상","중환자","0","0","0","0","0","0","0","0","0","0","0","0","0","0","38","2"
"운영병상","격리병실","0","0","5","5","4","2","18","6","0","0","0","0","0","0","0","0"
"운영병상","무균치료실","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0"
"운영병상","음압실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","5"
"기타병상","응급실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","1"
"기타병상","수술실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","15"
"기타병상","분만실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"기타병상","신생아실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1"
"기타병상","인공신장실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","1"
