"진료과","순위","상명코드","상병명","건수"
"가정의학과","1","R53","병감 및 피로","4245"
"가정의학과","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3535"
"가정의학과","3","J30","혈관운동성 및 앨러지성 비염","3263"
"가정의학과","4","J00","급성 코인두염 [감기]","1627"
"가정의학과","5","I10","본태성(원발성) 고혈압","1213"
"가정의학과","6","R63","음식 및 수액섭취에 관계된 증상 및 징후","1068"
"가정의학과","7","R05","기침","711"
"가정의학과","8","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","585"
"가정의학과","9","E78","지질단백질대사장애 및 기타 지질증","584"
"가정의학과","10","F48","기타 신경성 장애","550"
"가정의학과","11","K59","기타 기능적 창자 장애","380"
"가정의학과","12","E11","인슐린-비의존 당뇨병","317"
"가정의학과","13","J31","만성비염. 비인두염 및 인두염","271"
"가정의학과","14","K50","크론병[국한성 장염]","233"
"가정의학과","15","C22","간 및 간내담관의 악성 신생물","223"
"가정의학과","16","F03","상세불명의 치매","215"
"가정의학과","17","B35","피부사상균증","202"
"가정의학과","18","K29","위염 및 십이지장염","197"
"가정의학과","19","C34","기관지 및 폐의 악성 신생물","158"
"가정의학과","20","J06","다발성 및 상세불명 부위의 급성 상기도감염","131"
"감염내과","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","17"
"감염내과","2","B00","헤르페스바이러스[단순헤르페스] 감염","15"
"감염내과","3","R50","원인 미상의 열","13"
"감염내과","4","Z13","기타 질환 및 장애에 대한 특수선별검사","10"
"감염내과","5","R53","병감 및 피로","10"
"감염내과","6","N39","비뇨기계통의 기타 장애","8"
"감염내과","7","L03","혈액 및 조혈기관의 질환과 면역기전을 침범한 특정 장애","7"
"감염내과","8","A42","방선균증","5"
"감염내과","9","D72","백혈구의 기타 장애","5"
"감염내과","10","B89","상세불명의 기생충성 질환","4"
"감염내과","11","R10","복부 및 골반통증","4"
"감염내과","12","A41","기타 패혈증","4"
"감염내과","13","T14","상세불명의 신체부위의 손상","4"
"감염내과","14","M54","배통","3"
"감염내과","15","A64","상세불명의 성행위로 전파되는 질환","3"
"감염내과","16","R89","기타 기관. 계 및 조직으로부터의 검사재료의 이상 소견","3"
"감염내과","17","A48","달리 분류되지 않은 기타 세균질환","3"
"감염내과","18","A49","상세불명 부위의 세균성 감염","3"
"감염내과","19","J20","급성 기관지염","2"
"감염내과","20","R59","림프절비대","2"
"내분비내과","1","E11","인슐린-비의존 당뇨병","15783"
"내분비내과","2","E03","기타 갑상선기능저하증","1079"
"내분비내과","3","E14","상세불명의 당뇨병","749"
"내분비내과","4","E04","기타 비중독성 갑상선종","566"
"내분비내과","5","E78","지질단백질대사장애 및 기타 지질증","490"
"내분비내과","6","E05","갑상선독증[갑상선기능항진증]","327"
"내분비내과","7","E06","갑상선염","239"
"내분비내과","8","I10","본태성(원발성) 고혈압","233"
"내분비내과","9","E10","인슐린-의존 당뇨병","182"
"내분비내과","10","M81","병적골절이 없는 골다공증","77"
"내분비내과","11","G63","달리 분류된 질환에서의 다발신경병증","59"
"내분비내과","12","D35","기타 및 상세불명의 내분비선의 양성 신생물","58"
"내분비내과","13","E23","뇌하수체의 기능저하증 및 기타 장애","51"
"내분비내과","14","E13","기타 명시된 당뇨병","37"
"내분비내과","15","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","35"
"내분비내과","16","K29","위염 및 십이지장염","27"
"내분비내과","17","I11","고혈압성 심장병","25"
"내분비내과","18","E27","부신의 기타 장애","21"
"내분비내과","19","C73","갑상선의 악성 신생물","16"
"내분비내과","20","E35","달리 분류된 질환에서의 내분비선장애","15"
"비뇨의학과","1","N40","전립선증식증","27288"
"비뇨의학과","2","C61","전립선의 악성 신생물","3515"
"비뇨의학과","3","N31","달리 분류되지 않은 방광의 신경근육기능장애","1140"
"비뇨의학과","4","N20","콩팥(신장)및 요관의 결석","1014"
"비뇨의학과","5","C67","방광의 악성 신생물","947"
"비뇨의학과","6","N30","방광염","658"
"비뇨의학과","7","N39","비뇨기계통의 기타 장애","450"
"비뇨의학과","8","N41","전립선의 염증성 질환","235"
"비뇨의학과","9","R31","상세불명의 혈뇨","221"
"비뇨의학과","10","N45","고환염 및 부고환염","219"
"비뇨의학과","11","C64","콩팥깔때기를 제외한 콩팥(신장)의 악성 신생물","189"
"비뇨의학과","12","N48","음경의 기타 장애","147"
"비뇨의학과","13","N32","방광의 기타 장애","144"
"비뇨의학과","14","N43","음낭수종 및 정액류","118"
"비뇨의학과","15","N35","요도협착","106"
"비뇨의학과","16","N21","하부요로의 결석","94"
"비뇨의학과","17","N28","달리 분류되지 않은 콩팥(신장)및 요관의 기타 장애","85"
"비뇨의학과","18","N10","급성 세뇨관-사이질성 신염","53"
"비뇨의학과","19","D09","기타 및 상세불명 부위의 제자리암종","46"
"비뇨의학과","20","N13","폐쇄성 및 역류성 요로병증","37"
"산부인과","1","N95","폐경기 및 기타 폐경기전후 장애","325"
"산부인과","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","265"
"산부인과","3","N76","질 및 외음부의 기타 염증","144"
"산부인과","4","N30","방광염","68"
"산부인과","5","D25","자궁의 평활근종","64"
"산부인과","6","B37","칸디다증","58"
"산부인과","7","R92","유방의 진단적 영상이상소견","39"
"산부인과","8","E30","달리 분류되지 않은 사춘기의 장애","35"
"산부인과","9","N64","유방의 기타 장애","33"
"산부인과","10","M81","병적골절이 없는 골다공증","31"
"산부인과","11","Z01","호소증상 또는 보고된 진단명이 없는 사람의 기타 특수 검사 및 조사","30"
"산부인과","12","N83","난소. 난관 및 광 인대의 비염증성 장애","26"
"산부인과","13","R87","여성생식기관 검사물의 이상소견","20"
"산부인과","14","N91","무월경. 소량 및 희발 월경","20"
"산부인과","15","L24","자극성 접촉피부염","17"
"산부인과","16","N94","여성생식기관 및 월경주기와 관련된 통증 및 기타 병태","17"
"산부인과","17","N80","자궁내막증","15"
"산부인과","18","D27","난소의 양성 신생물","15"
"산부인과","19","D39","여성생식기관의 행동양식 불명 또는 미상의 신생물","13"
"산부인과","20","N32","방광의 기타 장애","13"
"소아청소년과","1","E30","달리 분류되지 않은 사춘기의 장애","12902"
"소아청소년과","2","E34","기타 내분비장애","1928"
"소아청소년과","3","J00","급성 코인두염 [감기]","1501"
"소아청소년과","4","J20","급성 기관지염","1019"
"소아청소년과","5","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","529"
"소아청소년과","6","J30","혈관운동성 및 앨러지성 비염","448"
"소아청소년과","7","E23","뇌하수체의 기능저하증 및 기타 장애","364"
"소아청소년과","8","J03","급성 편도염","288"
"소아청소년과","9","L20","질병이환 및 사망의 외인","258"
"소아청소년과","10","J21","급성 세기관지염","254"
"소아청소년과","11","P05","태아성장지연 및 태아영양실조","234"
"소아청소년과","12","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","187"
"소아청소년과","13","J02","급성 인두염","160"
"소아청소년과","14","L50","두드러기","159"
"소아청소년과","15","J18","상세불명 병원체의 폐렴","146"
"소아청소년과","16","R50","원인 미상의 열","131"
"소아청소년과","17","K52","기타 비감염성 위장염 및 대장염(큰창자염)","98"
"소아청소년과","18","J11","바이러스가 확인되지 않은 인플루엔자","70"
"소아청소년과","19","J15","달리 분류되지 않은 세균폐렴","65"
"소아청소년과","20","Z51","기타의료","64"
"소화기내과","1","K21","위-식도역류병","7344"
"소화기내과","2","K29","위염 및 십이지장염","3786"
"소화기내과","3","K58","자극성 장증후군","2294"
"소화기내과","4","B18","만성 바이러스간염","1753"
"소화기내과","5","K59","기타 기능적 창자 장애","1348"
"소화기내과","6","K25","위궤양","1120"
"소화기내과","7","K76","간의 기타 질환","1102"
"소화기내과","8","D13","기타 및 부위불명의 소화계통의 양성 신생물","1050"
"소화기내과","9","K63","창자의 기타 질환","973"
"소화기내과","10","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","843"
"소화기내과","11","K80","담석증","827"
"소화기내과","12","C22","간 및 간내담관의 악성 신생물","825"
"소화기내과","13","E78","지질단백질대사장애 및 기타 지질증","607"
"소화기내과","14","K74","간의 섬유증 및 경화증","582"
"소화기내과","15","K26","십이지장궤양","497"
"소화기내과","16","C16","위의 악성 신생물","481"
"소화기내과","17","D12","결장. 직장. 항문 및 항문관의 양성 신생물","479"
"소화기내과","18","K70","알콜성 간질환","414"
"소화기내과","19","K86","췌장의 기타 질환","412"
"소화기내과","20","K75","기타 염증성 간질환","378"
"순환기내과","1","I10","본태성(원발성) 고혈압","16856"
"순환기내과","2","I20","협심증","16853"
"순환기내과","3","I48","심방세동 및 조동","3907"
"순환기내과","4","E11","인슐린-비의존 당뇨병","2161"
"순환기내과","5","I25","만성 허혈심장병","1349"
"순환기내과","6","E78","지질단백질대사장애 및 기타 지질증","1290"
"순환기내과","7","I70","죽상경화증","860"
"순환기내과","8","R07","인후 및 흉곽의 동통","723"
