진료과,mean,sum,std
DM,515.9333333333333,7739,342.4993152582658
가정의학과,1053.605,632163,1715.4676771152087
감염내과,268.4153225806452,66567,1057.7390451040117
감염병전담의학과,52.55555555555556,473,142.98086507563792
구강내과,11.625,186,24.415500540981476
구강악안면외과,46.25,185,71.58852328876932
내과,1191.4733096085408,334804,2846.8456692387886
내분비내과,1222.9709443099273,505087,4948.785240680486
류마티스내과,400.63432835820896,107370,822.2303188548307
마취통증의학과,117.02298850574712,20362,208.88229819057335
방사선종양학과,359.3068181818182,31619,870.5997451612404
비뇨의학과,2198.52,1319112,7573.76391869284
산부인과,280.4044265593561,139361,714.9452997774825
생활지원센터,63.0,63,
성형외과,166.2375,13299,458.9626786004514
소아청소년과,455.1818181818182,220308,1593.5678201807195
소화기 내과,1283.7,25674,1435.4166495811373
소화기내과,1419.7865384615384,738289,1594.8791023972713
수면다원검사과,45.6551724137931,1324,95.57916534104409
순환기내과,2019.2434782608696,928852,5115.946888704004
신경과,1438.5283333333334,863117,2391.4551781245773
신경외과,902.7933333333333,541676,1729.2817525169814
신장내과,926.3673913043478,426129,2621.6140926509775
심장 내과,1200.0,24000,1898.2882594035805
심장내과,899.75,71980,1366.0172404716648
안과,1298.7933333333333,779276,2773.851275534948
암센터,6.0,132,9.206622874969126
영상의학과,50.0,200,53.53503525729669
완화의료사업,72.82608695652173,1675,105.20138789868828
외과,331.23,198738,320.2397428826347
욕창성형클리닉,54.391304347826086,1251,215.45738644914005
응급실,432.94615384615383,225132,651.8355592665164
응급의학과,14.083333333333334,1183,60.30748686429861
이비인후과,707.96,424776,1104.9561054894584
일반검진,168.23321554770317,47610,522.4097825257782
일반내과,674.27,134854,1495.7756116819505
입원전담의학과,9.1875,735,12.632180875481719
재택치료진료센터,46.5,186,90.33456333725941
재활의학과,1536.3633333333332,921818,2669.8441923342875
정신건강의학과,761.814,380907,1394.3080050799613
정형외과,1561.3033333333333,936782,2732.596923789175
제작부,1.0,1,
종합검진,73.25757575757575,4835,237.1803799516997
진단검사의학과,166.42857142857142,1165,179.402580010115
진료부장실,160.28571428571428,1122,86.85949244942333
치과,2121.8725314183125,1181883,6300.984139751978
치과보존과,68.0,612,94.14350747661784
치과보철과,109.3,1093,293.0248567385823
치주과,186.0,744,198.25068305893257
통증클리닉,249.53242320819112,73113,739.5582005448118
통합치의학과,50.4,252,42.28829625321881
피부과,1134.0016666666668,680401,2763.7175022756082
한방진료과,323.93,64786,495.1152397200223
한의과,315.3197969543147,62118,578.6339069122462
핵의학과,183.54961832061068,24045,525.5351443088268
혈액종양내과,443.090625,141789,897.6097524110533
호스피스완화의료센터,82.83333333333333,4970,95.6693044775023
호흡기 내과,869.0,17380,1295.686528041165
호흡기·알레르기내과,777.85,15557,1095.1879567116848
호흡기내과,943.2052631578947,358418,1389.0096090033446
흉부외과,373.3838383838384,36965,433.5314104165574
