병원,진료과,연도,실제값,ARIMA예측,RF예측,XGB예측,ARIMA_RMSE,ARIMA_MAE,ARIMA_MAPE,ARIMA_R2,ARIMA_Adjusted_R2,RF_RMSE,RF_MAE,RF_MAPE,RF_R2,RF_Adjusted_R2,XGB_RMSE,XGB_MAE,XGB_MAPE,XGB_R2,XGB_Adjusted_R2
광주,순환기내과,2023,47452,41852.466457323884,46223.72,43732.586,5599.533542676116,5599.533542676116,11.800416300000244,,,1228.2799999999988,1228.2799999999988,2.5884683469611374,,,3719.414066758365,3719.4140625,7.838266168970749,,
광주,호흡기내과,2023,2191,11662.206602358168,13702.5,11177.394,9471.206602358168,9471.206602358168,432.2778001989123,,,11511.5,11511.5,525.3993610223641,,,8986.393714944834,8986.3935546875,410.1503219848243,,
광주,내분비내과,2023,15166,15645.963151847684,16724.36,15973.344,479.96315184768355,479.96315184768355,3.1647313190536956,,,1558.3600000000006,1558.3600000000006,10.275352762758807,,,807.3437542335978,807.34375,5.323379599103258,,
광주,감염내과,2023,2098,2466.4802742073866,3103.52,2698.9314,368.4802742073866,368.4802742073866,17.56340677823578,,,1005.52,1005.52,47.92755004766444,,,600.9313864743629,600.931396484375,28.643059889627025,,
광주,소화기내과,2023,26662,21792.775179019358,24938.38,22546.414,4869.224820980642,4869.224820980642,18.262789066764093,,,1723.619999999999,1723.619999999999,6.4647063236066264,,,4115.585985008696,4115.5859375,15.436148591628534,,
광주,혈액종양내과,2023,5559,6093.01665638232,6738.26,6419.9546,534.0166563823204,534.0166563823204,9.60634388167513,,,1179.2600000000002,1179.2600000000002,21.213527612880018,,,860.9545937504486,860.95458984375,15.487580317390718,,
광주,신장내과,2023,15833,15128.754326479739,15092.4,14940.057,704.2456735202613,704.2456735202613,4.44796105299224,,,740.6000000000004,740.6000000000004,4.677572159413885,,,892.9433422675819,892.943359375,5.639761001547401,,
광주,일반내과,2023,10781,9875.28291223777,10187.0,10869.561,905.7170877622302,905.7170877622302,8.40104895429209,,,594.0,594.0,5.509692978387905,,,88.56054823184532,88.560546875,0.8214502075410444,,
광주,신경과,2023,39239,39793.676567023955,38467.0,38721.82,554.6765670239547,554.6765670239547,1.4135848697060442,,,772.0,772.0,1.9674303626494047,,,517.1797016028374,517.1796875,1.3180246374780193,,
광주,소아청소년과,2023,23493,23501.86943489562,23578.92,23697.049,8.869434895619634,8.869434895619634,0.037753521881495056,,,85.91999999999825,85.91999999999825,0.36572596092452325,,,204.04883185465678,204.048828125,0.8685516031371047,,
