구 분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 				 환자"
일 반 내 과,,,,,,,,,,,,,0,0.0
순 환 기 내 과,616,588,884,564,707,592,513,541,626,651,614,546,"7,442",20.4
호 흡 기 내 과,749,898,874,756,691,654,605,445,433,627,576,696,"8,004",21.9
내 분 비 내 과,500,484,538,370,381,521,437,437,413,486,470,361,"5,398",14.8
소 화 기 내 과,"2,735","2,630","2,787","2,836","2,931","2,884","2,968","3,092","3,007","2,934","2,796","3,062","34,662",95.0
신 장 내 과,235,219,320,293,304,324,291,380,413,504,591,486,"4,360",11.9
소아청소년과,,,,,,,,,,,,,0,0.0
신 경 과,609,651,624,679,666,647,548,534,548,637,638,632,"7,413",20.3
정신건강의학과,,,,,,,,,,,,,0,0.0
외 과,464,400,334,242,188,231,317,350,255,390,339,371,"3,881",10.6
정 형 외 과,"4,290","3,679","3,832","3,835","4,057","3,910","3,824","3,654","3,165","2,997","3,012","3,389","43,644",119.6
신 경 외 과,"3,206","2,750","3,111","3,181","3,379","3,189","3,281","3,663","3,351","3,401","3,184","3,380","39,076",107.1
산 부 인 과,,,,,,,,,,,,,0,0.0
안 과,33,30,45,13,28,13,11,8,12,13,21,30,257,0.7
이 비 인 후 과,55,15,63,60,52,51,62,33,48,61,70,38,608,1.7
피 부 과,,,,,,,,,,,,,0,0.0
비 뇨 기 과,335,359,432,506,629,556,750,787,571,713,737,579,"6,954",19.1
치 과,,,,,,,,,,,,,0,0.0
재 활 의 학 과,828,710,770,745,811,822,785,677,712,751,785,863,"9,259",25.4
가 정 의 학 과,715,657,862,724,812,849,863,873,749,773,819,902,"9,598",26.3
합 계,"15,370","14,070","15,476","14,804","15,636","15,243","15,255","15,474","14,303","14,938","14,652","15,335","180,556","494,7"
신 생 아,,,,,,,,,,,,,0,0.0
