구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 					환자"
내과,"6,195","5,488","6,404","5,956","6,416","5,627","5,820","6,134","5,429","5,483","5,762","5,975","70,689",193.7
신경과,333,174,225,159,198,162,206,252,298,305,344,314,"2,970",8.1
정신건강의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
외과,775,630,631,523,766,722,593,819,629,540,567,521,"7,716",21.1
흉부외과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
정형외과,"1,854","1,395","1,647","1,741","1,750","1,945","1,824","1,897","1,796","1,678","1,862","1,895","21,284",58.3
신경외과,"2,143","1,726","1,997","1,998","1,866","1,807","1,955","2,041","1,848","1,980","1,828","1,969","23,158",63.4
산부인과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
소아청소년과,37,58,29,43,36,22,13,17,50,25,69,60,459,1.3
안과,16,15,28,22,31,27,24,16,32,38,47,32,328,0.9
이비인후과,5,9,13,25,12,19,49,21,10,24,62,13,262,0.7
피부과,-,-,5,7,-,6,25,4,-,8,8,-,63,0.2
비뇨기과,442,336,449,374,278,336,385,359,236,333,440,526,"4,494",12.3
재활의학과,"2,424","2,085","2,149","2,111","2,149","2,297","2,473","2,413","2,315","2,125","2,039","2,219","26,799",73.4
가정의학과,546,480,451,518,478,539,684,591,489,635,561,591,"6,563",18.0
치과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
응급의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
핵의학과,-,-,3,-,-,-,-,-,-,-,6,-,9,0.0
합계,"14,770","12,396","14,031","13,477","13,980","13,509","14,051","14,564","13,132","13,174","13,595","14,115","164,794",451.5
신생아,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
