구 분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 				 환자"
일 반 내 과,,,,,,,,,,,,,-,0.0
순 환 기 내 과,694,522,618,695,797,526,691,427,480,519,712,632,"7,313",20.0
호 흡 기 내 과,970,754,772,709,654,804,690,655,485,351,607,837,"8,288",22.7
내 분 비 내 과,785,628,710,747,704,740,761,703,559,678,736,655,"8,406",23.0
소 화 기 내 과,"2,899","2,484","2,637","2,622","2,896","2,754","2,684","2,850","2,897","2,853","2,789","2,810","33,175",90.9
신 장 내 과,514,565,577,613,581,522,370,466,398,338,477,442,"5,863",16.1
소아청소년과,,,2,,,,,,,,,,2,0.0
신 경 과,481,392,581,564,559,702,"1,085","1,189",962,843,658,911,"8,927",24.5
정신건강의학과,,,,,,,,,,,,,-,0.0
외 과,204,271,336,241,333,190,212,184,469,582,589,610,"4,221",11.6
정 형 외 과,"3,687","3,566","3,639","3,063","3,176","3,371","3,630","3,710","2,907","2,999","3,328","3,631","40,707",111.5
신 경 외 과,"3,237","2,771","2,968","2,709","3,162","3,207","3,315","3,094","2,802","2,931","3,169","3,213","36,578",100.2
산 부 인 과,,,,,,,,,,,,,-,0.0
안 과,73,37,73,59,47,36,31,22,26,49,36,20,509,1.4
이 비 인 후 과,53,29,51,49,67,74,58,84,40,59,34,23,621,1.7
피 부 과,,,,,,,,,,,,,-,0.0
비 뇨 기 과,288,293,415,361,453,280,419,369,198,301,316,349,"4,042",11.1
치 과,,,,,,,,,,,,,-,0.0
재 활 의 학 과,762,673,715,608,647,552,595,635,571,512,570,636,"7,476",20.5
가 정 의 학 과,742,661,787,709,648,669,717,723,653,681,713,751,"8,454",23.2
합 계,"15,389","13,646","14,881","13,749","14,724","14,427","15,258","15,111","13,447","13,696","14,734","15,520","174,582",478.3
신 생 아,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
