구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 			환자"
내과,"6,008","5,388","5,749","5,604","5,925","5,973","5,999","6,117","5,622","5,387","5,595","5,718","69,085",189.3
신경과,435,438,503,374,343,417,383,436,353,260,306,304,"4,552",12.5
정신건강의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
외과,933,751,853,694,575,814,976,831,594,609,747,804,"9,181",25.2
흉부외과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
정형외과,"2,216","1,899","1,958","1,863","1,968","1,891","1,907","1,931","1,580","1,890","2,099","2,175","23,377",64.0
신경외과,"1,987","1,569","1,706","1,928","1,759","1,801","1,879","1,916","1,770","1,614","1,746","1,823","21,498",58.9
산부인과,-,4,-,5,-,-,-,-,-,-,-,12,21,0.1
소아청소년과,62,45,53,70,66,34,34,50,22,30,74,45,585,1.6
안과,30,1,25,44,45,21,39,22,20,21,61,55,384,1.1
이비인후과,4,2,9,12,18,5,23,12,16,31,11,31,174,0.5
피부과,3,-,26,14,7,-,4,-,33,22,2,-,111,0.3
비뇨기과,251,199,202,203,267,325,329,415,403,231,379,281,"3,485",9.5
재활의학과,"2,062","1,825","2,110","1,875","2,203","2,173","2,207","2,098","1,935","1,950","1,985","2,299","24,722",67.7
가정의학과,527,483,530,500,617,555,535,560,481,561,519,552,"6,420",17.6
치과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
응급의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
핵의학과,-,-,-,-,11,-,-,1,1,-,-,-,13,0.0
합계,"14,518","12,604","13,724","13,186","13,804","14,009","14,315","14,389","12,830","12,606","13,524","14,099","163,608",448.2
신생아,-,-,-,-,-,-,-,-,-,-,-,-,-,0.0
