진료과,순위,상명코드,상병명,건수
가정의학과,1,I10,본태성(일차성)고혈압,4796
가정의학과,2,E11,인슐린-비의존 당뇨병,4214
가정의학과,3,J40,"급성인지 만성인지 명시되지 않은 기관지염, 알레르기 NOS(J45.0-), 호흡기 감염 NOS",977
가정의학과,4,E78,지질단백질대사장애 및 기타 지질증,976
가정의학과,5,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,976
가정의학과,6,F00,알츠하이머병에서의 치매(G30.-+),768
가정의학과,7,E46,상세불명의 단백칼로리 영양실조,719
가정의학과,8,M81,병적골절이 없는 골다공증,587
가정의학과,9,G47,수면장애,419
가정의학과,10,I20,협심증,362
가정의학과,11,F06,뇌손상. 뇌기능 이상 및 신체질환에 의한 기타 정신 장애,332
가정의학과,12,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,312
가정의학과,13,E03,기타 갑상선기능저하증,185
가정의학과,14,K59,기타 기능적 창자 장애,175
가정의학과,15,I63,뇌경색증,172
가정의학과,16,K30,소화불량,166
가정의학과,17,J44,기타 만성 폐쇄성 폐질환,148
가정의학과,18,B90,결핵의 후유증,105
가정의학과,19,K21,위-식도역류병,102
가정의학과,20,J45,천식,92
내과,1,I10,본태성(일차성)고혈압,4425
내과,2,E11,인슐린-비의존 당뇨병,2830
내과,3,K29,위염 및 십이지장염,1818
내과,4,K21,위-식도역류병,1170
내과,5,E78,지질단백질대사장애 및 기타 지질증,886
내과,6,K59,기타 기능적 창자 장애,707
내과,7,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,484
내과,8,J21,급성 세기관지염,338
내과,9,B18,만성 바이러스간염.   주: 다음의 5단위 세분류는 면역관용기 여부를 표기하기 위해 B18.0-B18.1에 사용한다.,317
내과,10,K58,자극성 장증후군,307
내과,11,A09,감염성 및 상세불명 기원의 기타 위장염 및 대장염,273
내과,12,J41,단순성 및 점액화농성 만성 기관지염,228
내과,13,J44,기타 만성 폐쇄성 폐질환,212
내과,14,E03,기타 갑상선기능저하증,160
내과,15,K25,위궤양,156
내과,16,K30,소화불량,132
내과,17,K76,간의 기타 질환,107
내과,18,I20,협심증,94
내과,19,J45,천식,93
내과,20,I48,심방세동 및 조동,87
마취통증의학과,1,M48,기타 척추병증,519
마취통증의학과,2,M54,배통,168
마취통증의학과,3,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,141
마취통증의학과,4,M75,어깨병변,107
마취통증의학과,5,M13,추 락,70
마취통증의학과,6,M17,윤충증,62
마취통증의학과,7,M51,기타 추간판장애,54
마취통증의학과,8,G53,달리 분류된 질환에서의 뇌신경장애,53
마취통증의학과,9,M79,달리 분류되지 않은 기타 연조직장애,28
마취통증의학과,10,M50,목뼈원판 장애,20
마취통증의학과,11,R52,달리 분류되지 않은 통증,19
마취통증의학과,12,S99,발목 및 발의 기타 및 상세불명의 손상,16
마취통증의학과,13,B02,대상포진,13
마취통증의학과,14,M47,척추증,12
