"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","U07","U07의 응급사용","7693"
"59세 이하","2","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2499"
"59세 이하","3","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","1556"
"59세 이하","4","E11","인슐린-비의존 당뇨병","1114"
"59세 이하","5","M51","기타 추간판장애","988"
"59세 이하","6","I10","본태성(일차성)고혈압","959"
"59세 이하","7","N18","만성 콩팥(신장)기능상실","958"
"59세 이하","8","K05","치은염(잇몸염)및 치주 질환","513"
"59세 이하","9","K02","치아우식증","464"
"59세 이하","10","G82","하반신마비 및 사지마비","376"
"59세 이하","11","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","354"
"59세 이하","12","K21","위-식도역류병","339"
"59세 이하","13","R07","인후 및 흉곽의 동통","328"
"59세 이하","14","E78","지질단백질대사장애 및 기타 지질증","314"
"59세 이하","15","B18","만성 바이러스간염","314"
"59세 이하","16","I20","협심증","310"
"59세 이하","17","N40","전립선증식증","292"
"59세 이하","18","M50","목뼈원판 장애","288"
"59세 이하","19","M54","배통","284"
"59세 이하","20","K04","치수 및 치근단주위조직의 질환","280"
"60대","1","U07","U07의 응급사용","6526"
"60대","2","E11","인슐린-비의존 당뇨병","2787"
"60대","3","I10","본태성(일차성)고혈압","2405"
"60대","4","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1877"
"60대","5","N40","전립선증식증","1597"
"60대","6","M51","기타 추간판장애","1234"
"60대","7","N18","만성 콩팥(신장)기능상실","1067"
"60대","8","I20","협심증","1035"
"60대","9","M48","기타 척추병증","929"
"60대","10","K05","치은염(잇몸염)및 치주 질환","856"
"60대","11","E78","지질단백질대사장애 및 기타 지질증","822"
"60대","12","Z11","감염성 및 기생충성 질환에 대한 특수선별검사","796"
"60대","13","K08","치아 및 지지구조의 기타 장애","773"
"60대","14","M81","병적골절이 없는 골다공증","766"
"60대","15","M75","어깨병변","642"
"60대","16","I63","뇌경색증","639"
"60대","17","M17","윤충증","631"
"60대","18","M50","목뼈원판 장애","576"
"60대","19","K21","위-식도역류병","572"
"60대","20","E03","기타 갑상선기능저하증","460"
"70대","1","N40","전립선증식증","20729"
"70대","2","E11","인슐린-비의존 당뇨병","15598"
"70대","3","M51","기타 추간판장애","14515"
"70대","4","I10","본태성(일차성)고혈압","11595"
"70대","5","I20","협심증","9357"
"70대","6","M48","기타 척추병증","7810"
"70대","7","U07","U07의 응급사용","6635"
"70대","8","I63","뇌경색증","6297"
"70대","9","K08","치아 및 지지구조의 기타 장애","5822"
"70대","10","N18","만성 콩팥(신장)기능상실","5635"
"70대","11","H25","노인성 백내장","5500"
"70대","12","K05","치은염(잇몸염)및 치주 질환","4483"
"70대","13","G62","기타 다발신경병증","4219"
"70대","14","M17","윤충증","3987"
"70대","15","K21","위-식도역류병","3814"
"70대","16","K04","치수 및 치근단주위조직의 질환","3333"
"70대","17","B35","피부사상균증","3164"
"70대","18","C61","전립선의 악성 신생물","3137"
"70대","19","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","3060"
"70대","20","M75","어깨병변","3046"
"80대","1","N40","전립선증식증","4592"
"80대","2","E11","인슐린-비의존 당뇨병","3724"
"80대","3","I10","본태성(일차성)고혈압","2979"
"80대","4","M51","기타 추간판장애","2496"
"80대","5","U07","U07의 응급사용","2331"
"80대","6","I20","협심증","2289"
"80대","7","I63","뇌경색증","2220"
"80대","8","M48","기타 척추병증","2159"
"80대","9","F00","알츠하이머병에서의 치매(G30.-+)","2025"
"80대","10","N18","만성 콩팥(신장)기능상실","1318"
"80대","11","H25","노인성 백내장","1271"
"80대","12","C61","전립선의 악성 신생물","1208"
"80대","13","K08","치아 및 지지구조의 기타 장애","1172"
"80대","14","M17","윤충증","993"
"80대","15","I48","심방세동 및 조동","872"
"80대","16","K21","위-식도역류병","789"
"80대","17","R41","인지기능 및 자각에 관한 기타 증상 및 징후","766"
"80대","18","B35","피부사상균증","700"
"80대","19","K04","치수 및 치근단주위조직의 질환","694"
"80대","20","F32","우울증 에피소드","676"
"90세 이상","1","N40","전립선증식증","2200"
"90세 이상","2","F00","알츠하이머병에서의 치매(G30.-+)","1438"
"90세 이상","3","I10","본태성(일차성)고혈압","1376"
"90세 이상","4","I63","뇌경색증","1144"
"90세 이상","5","E11","인슐린-비의존 당뇨병","1041"
"90세 이상","6","M48","기타 척추병증","948"
"90세 이상","7","N18","만성 콩팥(신장)기능상실","787"
"90세 이상","8","I20","협심증","583"
"90세 이상","9","F03","상세불명의 치매","562"
"90세 이상","10","U07","U07의 응급사용","527"
"90세 이상","11","C61","전립선의 악성 신생물","524"
"90세 이상","12","I48","심방세동 및 조동","403"
"90세 이상","13","M51","기타 추간판장애","388"
"90세 이상","14","K08","치아 및 지지구조의 기타 장애","352"
"90세 이상","15","J44","기타 만성 폐쇄성 폐질환","343"
"90세 이상","16","H25","노인성 백내장","284"
"90세 이상","17","K59","기타 기능적 창자 장애","243"
"90세 이상","18","L29","소양증","243"
"90세 이상","19","F32","우울증 에피소드","243"
"90세 이상","20","I50","심장기능상실(심부전)","232"
