"연령대","순위","상병코드","상병명","건수"
"59세 이하","1","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2008"
"59세 이하","2","U07","U07의 응급사용","1050"
"59세 이하","3","M54","배통","689"
"59세 이하","4","K05","치은염(잇몸염)및 치주 질환","494"
"59세 이하","5","I10","본태성(일차성)고혈압","423"
"59세 이하","6","E11","인슐린-비의존 당뇨병","422"
"59세 이하","7","M51","기타 추간판장애","416"
"59세 이하","8","M75","어깨병변","362"
"59세 이하","9","M50","목뼈원판 장애","360"
"59세 이하","10","Z00","호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사","331"
"59세 이하","11","S13","목부위의 관절 및 인대의 탈구, 염좌 및 긴장","276"
"59세 이하","12","N31","달리 분류되지 않은 방광의 신경근육기능장애","222"
"59세 이하","13","G71","근육의 일차성 장애","222"
"59세 이하","14","M17","윤충증","214"
"59세 이하","15","N40","전립선증식증","191"
"59세 이하","16","G81","편마비","190"
"59세 이하","17","E78","지질단백질대사장애 및 기타 지질증","182"
"59세 이하","18","B35","피부사상균증","142"
"59세 이하","19","H04","눈물기관의 장애","137"
"59세 이하","20","K29","위염 및 십이지장염","133"
"60대","1","U07","U07의 응급사용","2349"
"60대","2","M54","배통","1478"
"60대","3","I10","본태성(일차성)고혈압","1313"
"60대","4","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","1189"
"60대","5","N40","전립선증식증","1091"
"60대","6","E11","인슐린-비의존 당뇨병","795"
"60대","7","K05","치은염(잇몸염)및 치주 질환","715"
"60대","8","M75","어깨병변","595"
"60대","9","M51","기타 추간판장애","587"
"60대","10","M17","윤충증","467"
"60대","11","M48","기타 척추병증","419"
"60대","12","E78","지질단백질대사장애 및 기타 지질증","317"
"60대","13","M50","목뼈원판 장애","309"
"60대","14","H04","눈물기관의 장애","291"
"60대","15","I63","뇌경색증","265"
"60대","16","M19","연기, 불 및 화염에 노출","257"
"60대","17","B35","피부사상균증","252"
"60대","18","M81","병적골절이 없는 골다공증","195"
"60대","19","R52","달리 분류되지 않은 통증","187"
"60대","20","K29","위염 및 십이지장염","181"
"70대","1","N40","전립선증식증","12506"
"70대","2","I10","본태성(일차성)고혈압","6266"
"70대","3","M54","배통","5693"
"70대","4","K05","치은염(잇몸염)및 치주 질환","4839"
"70대","5","E11","인슐린-비의존 당뇨병","4035"
"70대","6","M48","기타 척추병증","3722"
"70대","7","M17","윤충증","2944"
"70대","8","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","2552"
"70대","9","M75","어깨병변","2284"
"70대","10","M51","기타 추간판장애","1973"
"70대","11","K04","치수 및 치근단주위조직의 질환","1842"
"70대","12","M19","연기, 불 및 화염에 노출","1737"
"70대","13","U07","U07의 응급사용","1680"
"70대","14","B35","피부사상균증","1673"
"70대","15","H04","눈물기관의 장애","1657"
"70대","16","G81","편마비","1615"
"70대","17","I63","뇌경색증","1377"
"70대","18","L24","자극성 접촉피부염","1329"
"70대","19","H90","전음성 및 감각신경성 청력소실","1280"
"70대","20","K29","위염 및 십이지장염","1236"
"80대","1","N40","전립선증식증","3073"
"80대","2","I10","본태성(일차성)고혈압","1711"
"80대","3","K05","치은염(잇몸염)및 치주 질환","1171"
"80대","4","E11","인슐린-비의존 당뇨병","1055"
"80대","5","M54","배통","1030"
"80대","6","M48","기타 척추병증","954"
"80대","7","U07","U07의 응급사용","813"
"80대","8","I63","뇌경색증","785"
"80대","9","Z26","기타 단일 감염성 질환에 대한 예방접종의 필요","500"
"80대","10","F00","알츠하이머병에서의 치매(G30.-+)","475"
"80대","11","M17","윤충증","465"
"80대","12","H90","전음성 및 감각신경성 청력소실","423"
"80대","13","H04","눈물기관의 장애","406"
"80대","14","N31","달리 분류되지 않은 방광의 신경근육기능장애","394"
"80대","15","L24","자극성 접촉피부염","387"
"80대","16","M19","연기, 불 및 화염에 노출","345"
"80대","17","M75","어깨병변","339"
"80대","18","K04","치수 및 치근단주위조직의 질환","329"
"80대","19","B35","피부사상균증","295"
"80대","20","K29","위염 및 십이지장염","280"
"90세 이상","1","N40","전립선증식증","1514"
"90세 이상","2","I10","본태성(일차성)고혈압","985"
"90세 이상","3","M54","배통","419"
"90세 이상","4","M48","기타 척추병증","383"
"90세 이상","5","K05","치은염(잇몸염)및 치주 질환","366"
"90세 이상","6","F00","알츠하이머병에서의 치매(G30.-+)","337"
"90세 이상","7","E11","인슐린-비의존 당뇨병","316"
"90세 이상","8","N31","달리 분류되지 않은 방광의 신경근육기능장애","240"
"90세 이상","9","H04","눈물기관의 장애","215"
"90세 이상","10","I63","뇌경색증","193"
"90세 이상","11","K59","기타 기능적 창자 장애","156"
"90세 이상","12","M75","어깨병변","155"
"90세 이상","13","H90","전음성 및 감각신경성 청력소실","145"
"90세 이상","14","M19","연기, 불 및 화염에 노출","136"
"90세 이상","15","M51","기타 추간판장애","136"
"90세 이상","16","M17","윤충증","134"
"90세 이상","17","L24","자극성 접촉피부염","133"
"90세 이상","18","U07","U07의 응급사용","130"
"90세 이상","19","K64","치핵 및 항문주위정맥혈전증","129"
"90세 이상","20","K08","치아 및 지지구조의 기타 장애","129"
