"년도","월","구분코드","구분명","년가동병상수(6개 보훈병원평균)","입원년인원(6개 보훈병원평균)"
"2019","11","03","공동간병","648","566"
"2019","01","01","간호간병","1383","1222"
"2019","01","02","호스피스","688","622"
"2019","02","02","호스피스","622","543"
"2019","02","03","공동간병","638","584"
"2019","03","02","호스피스","688","632"
"2019","06","01","간호간병","1338","1148"
"2019","08","03","공동간병","670","603"
"2019","03","03","공동간병","707","650"
"2019","05","03","공동간병","707","585"
"2019","06","02","호스피스","666","609"
"2019","08","01","간호간병","1383","1244"
"2019","12","02","호스피스","688","625"
"2019","12","03","공동간병","670","586"
"2019","01","03","공동간병","707","651"
"2019","05","01","간호간병","1358","1193"
"2019","05","02","호스피스","688","638"
"2019","09","01","간호간병","1338","1076"
"2019","10","03","공동간병","670","546"
"2019","02","01","간호간병","1249","1045"
"2019","08","02","호스피스","688","654"
"2019","09","02","호스피스","666","620"
"2019","11","01","간호간병","1338","1187"
"2019","04","01","간호간병","1314","1125"
"2019","04","02","호스피스","666","616"
"2019","07","03","공동간병","670","589"
"2019","12","01","간호간병","1383","1242"
"2019","07","02","호스피스","688","657"
"2019","10","01","간호간병","1383","1173"
"2019","03","01","간호간병","1383","1131"
"2019","09","03","공동간병","648","568"
"2019","11","02","호스피스","666","607"
"2019","04","03","공동간병","684","616"
"2019","06","03","공동간병","648","543"
"2019","07","01","간호간병","1383","1207"
"2019","10","02","호스피스","688","616"
