병원명,진료과,현재전문의수,최적전문의수,변화량,변화율,예측환자수,현재_환자당전문의비율,최적_환자당전문의비율
광주,가정의학과,3,2.0,-1.0,-33.33333333333333,28127.537,7031.88425,9375.845666666666
광주,산부인과,2,1.0,-1.0,-50.0,4356.6973,1452.2324333333333,2178.34865
광주,소아청소년과,2,2.0,0.0,0.0,23842.078,7947.359333333334,7947.359333333334
광주,신경과,3,4.0,1.0,33.33333333333333,49703.457,12425.86425,9940.6914
광주,신경외과,2,1.0,-1.0,-50.0,12563.993,4187.997666666667,6281.9965
광주,안과,2,1.0,-1.0,-50.0,12195.758,4065.2526666666668,6097.879
광주,외과,2,2.0,0.0,0.0,30738.656,10246.218666666666,10246.218666666666
광주,이비인후과,2,1.0,-1.0,-50.0,10913.748,3637.9159999999997,5456.874
광주,재활의학과,4,5.0,1.0,25.0,66434.33,13286.866,11072.388333333334
광주,정형외과,2,3.0,1.0,50.0,43981.39,14660.463333333333,10995.3475
광주,치과,0,2.0,2.0,100.0,21724.635,21724.635,7241.544999999999
광주,피부과,1,1.0,0.0,0.0,15517.796,7758.898,7758.898
광주,핵의학과,1,1.0,0.0,0.0,192.99524,96.49762,96.49762
광주,응급의학과,3,1.0,-2.0,-66.66666666666666,4148.8354,1037.20885,2074.4177
광주,정신건강의학과,1,1.0,0.0,0.0,12886.918,6443.459,6443.459
광주,비뇨의학과,4,3.0,-1.0,-25.0,43506.836,8701.3672,10876.709
대구,가정의학과,4,1.0,-3.0,-75.0,12836.602,2567.3204,6418.301
대구,내과,9,1.0,-8.0,-88.88888888888889,8772.172,877.2172,4386.086
대구,산부인과,1,1.0,0.0,0.0,6471.7026,3235.8513,3235.8513
대구,소아청소년과,1,1.0,0.0,0.0,1204.0587,602.02935,602.02935
대구,신경과,2,2.0,0.0,0.0,32247.824,10749.274666666666,10749.274666666666
대구,신경외과,3,3.0,0.0,0.0,45370.555,11342.63875,11342.63875
대구,안과,2,2.0,0.0,0.0,24281.986,8093.995333333333,8093.995333333333
대구,외과,3,1.0,-2.0,-66.66666666666666,11212.456,2803.114,5606.228
대구,이비인후과,3,1.0,-2.0,-66.66666666666666,17740.049,4435.01225,8870.0245
대구,재활의학과,2,4.0,2.0,100.0,53177.13,17725.71,10635.426
대구,정형외과,4,3.0,-1.0,-25.0,43206.543,8641.3086,10801.63575
대구,치과,0,2.0,2.0,100.0,25953.277,25953.277,8651.092333333332
대구,피부과,2,2.0,0.0,0.0,20109.908,6703.3026666666665,6703.3026666666665
대구,핵의학과,0,1.0,1.0,100.0,7352.2886,7352.2886,3676.1443
대구,정신건강의학과,1,1.0,0.0,0.0,11798.963,5899.4815,5899.4815
대구,비뇨의학과,1,3.0,2.0,200.0,43021.203,21510.6015,10755.30075
대구,마취통증의학과,2,1.0,-1.0,-50.0,2641.0735,880.3578333333334,1320.53675
대전,가정의학과,3,3.0,0.0,0.0,34215.367,8553.84175,8553.84175
대전,내과,6,1.0,-5.0,-83.33333333333334,7259.579,1037.0827142857142,3629.7895
대전,산부인과,1,1.0,0.0,0.0,10918.405,5459.2025,5459.2025
대전,소아청소년과,1,1.0,0.0,0.0,697.0506,348.5253,348.5253
대전,신경과,3,3.0,0.0,0.0,36322.113,9080.52825,9080.52825
대전,신경외과,2,1.0,-1.0,-50.0,10420.881,3473.627,5210.4405
대전,안과,1,1.0,0.0,0.0,12663.494,6331.747,6331.747
대전,외과,2,1.0,-1.0,-50.0,12949.107,4316.369,6474.5535
대전,이비인후과,1,1.0,0.0,0.0,11290.346,5645.173,5645.173
대전,재활의학과,1,2.0,1.0,100.0,23287.588,11643.794,7762.529333333333
대전,정형외과,3,5.0,2.0,66.66666666666666,68639.125,17159.78125,11439.854166666666
대전,치과,0,2.0,2.0,100.0,26313.98,26313.98,8771.326666666666
대전,피부과,1,1.0,0.0,0.0,12800.823,6400.4115,6400.4115
대전,응급의학과,0,1.0,1.0,100.0,0.0027489383,0.0027489383,0.00137446915
대전,정신건강의학과,1,1.0,0.0,0.0,6181.7314,3090.8657,3090.8657
대전,비뇨의학과,3,2.0,-1.0,-33.33333333333333,33098.79,8274.6975,11032.93
대전,마취통증의학과,3,1.0,-2.0,-66.66666666666666,3457.3625,864.340625,1728.68125
부산,가정의학과,5,3.0,-2.0,-40.0,35255.69,5875.948333333334,8813.9225
부산,산부인과,2,1.0,-1.0,-50.0,2253.0947,751.0315666666667,1126.54735
부산,소아청소년과,2,2.0,0.0,0.0,29010.512,9670.170666666667,9670.170666666667
부산,신경과,2,2.0,0.0,0.0,20639.436,6879.812000000001,6879.812000000001
부산,신경외과,3,4.0,1.0,33.33333333333333,54230.266,13557.5665,10846.0532
부산,안과,2,2.0,0.0,0.0,27798.69,9266.23,9266.23
부산,외과,3,1.0,-2.0,-66.66666666666666,7681.144,1920.286,3840.572
부산,이비인후과,2,1.0,-1.0,-50.0,13217.497,4405.832333333333,6608.7485
부산,재활의학과,2,3.0,1.0,50.0,44526.977,14842.325666666666,11131.74425
부산,정형외과,3,5.0,2.0,66.66666666666666,69673.45,17418.3625,11612.241666666667
부산,치과,0,3.0,3.0,100.0,33953.996,33953.996,8488.499
부산,피부과,2,2.0,0.0,0.0,28763.756,9587.918666666666,9587.918666666666
부산,정신건강의학과,2,1.0,-1.0,-50.0,18193.535,6064.511666666666,9096.7675
부산,비뇨의학과,5,4.0,-1.0,-20.0,57651.99,9608.664999999999,11530.398
인천,가정의학과,1,4.0,3.0,300.0,19376.82,9688.41,3875.364
